t,s
0.000000,0.000
0.010000,0.007
0.020000,0.076
0.030000,0.262
0.040000,0.549
0.050000,0.943
0.060000,1.442
0.070000,1.786
0.080000,2.148
0.090000,3.029
0.100000,3.811
0.110000,3.828
0.120000,4.808
0.130000,4.839
0.140000,5.727
0.150000,5.713
0.160000,6.747
0.170000,5.993
0.180000,6.717
0.190000,6.904
0.200000,7.992
0.210000,8.060
0.220000,7.112
0.230000,6.235
0.240000,5.594
0.250000,0.324
0.260000,2.482
0.270000,1.070
0.280000,2.823
0.290000,-2.146
0.300000,0.248
0.310000,-2.657
0.320000,-3.393
0.330000,-7.837
0.340000,-5.555
0.350000,-6.356
0.360000,-7.692
0.370000,-11.556
0.380000,-15.391
0.390000,-21.075
0.400000,-27.691
0.410000,-25.026
0.420000,-16.125
0.430000,-21.368
0.440000,-23.435
0.450000,-19.263
0.460000,-34.684
0.470000,-39.983
0.480000,-44.983
0.490000,-44.654
0.500000,-51.619
0.510000,-60.544
0.520000,-70.698
0.530000,-67.132
0.540000,-89.583
0.550000,-89.177
0.560000,-111.485
0.570000,-118.268
0.580000,-117.747
0.590000,-117.892
0.600000,-135.958
0.610000,-117.922
0.620000,-143.832
0.630000,-132.686
0.640000,-137.393
0.650000,-143.857
0.660000,-157.644
0.670000,-152.541
0.680000,-155.963
0.690000,-158.410
0.700000,-166.840
0.710000,-155.581
0.720000,-182.632
0.730000,-179.771
0.740000,-190.283
0.750000,-197.495
0.760000,-196.251
0.770000,-206.247
0.780000,-225.597
0.790000,-207.038
0.800000,-207.527
0.810000,-222.164
0.820000,-217.020
0.830000,-230.328
0.840000,-242.858
0.850000,-245.198
0.860000,-255.818
0.870000,-264.702
0.880000,-253.253
0.890000,-242.559
0.900000,-245.995
0.910000,-239.180
0.920000,-245.891
0.930000,-249.067
0.940000,-234.654
0.950000,-250.854
0.960000,-265.833
0.970000,-267.157
0.980000,-258.354
0.990000,-277.031
1.000000,-268.842
1.010000,-279.054
1.020000,-276.927
1.030000,-295.758
1.040000,-283.743
1.050000,-305.558
1.060000,-302.737
1.070000,-317.144
1.080000,-310.057
1.090000,-308.463
1.100000,-302.753
1.110000,-304.244
1.120000,-296.203
1.130000,-313.968
1.140000,-310.750
1.150000,-325.457
1.160000,-333.278
1.170000,-336.932
1.180000,-309.785
1.190000,-324.529
1.200000,-311.884
1.210000,-320.402
1.220000,-313.823
1.230000,-320.684
1.240000,-336.887
1.250000,-331.523
1.260000,-317.394
1.270000,-317.987
1.280000,-338.924
1.290000,-335.949
1.300000,-312.570
1.310000,-326.049
1.320000,-338.192
1.330000,-347.702
1.340000,-345.391
1.350000,-345.949
1.360000,-320.243
1.370000,-336.133
1.380000,-345.624
1.390000,-312.866
1.400000,-317.724
1.410000,-341.563
1.420000,-321.673
1.430000,-335.228
1.440000,-329.645
1.450000,-313.341
1.460000,-329.596
1.470000,-325.158
1.480000,-333.352
1.490000,-322.093
1.500000,-325.018
1.510000,-322.862
1.520000,-339.646
1.530000,-322.377
1.540000,-332.696
1.550000,-325.917
1.560000,-331.166
1.570000,-325.787
1.580000,-336.491
1.590000,-320.108
1.600000,-328.788
1.610000,-334.605
1.620000,-335.848
1.630000,-331.048
1.640000,-344.260
1.650000,-326.685
1.660000,-333.010
1.670000,-330.395
1.680000,-335.907
1.690000,-336.728
1.700000,-340.879
1.710000,-330.422
1.720000,-341.805
1.730000,-318.801
1.740000,-325.584
1.750000,-319.673
1.760000,-313.838
1.770000,-334.231
1.780000,-307.822
1.790000,-308.309
1.800000,-342.020
1.810000,-330.470
1.820000,-319.413
1.830000,-315.326
1.840000,-313.116
1.850000,-319.915
1.860000,-311.259
1.870000,-299.605
1.880000,-298.097
1.890000,-310.284
1.900000,-286.947
1.910000,-293.739
1.920000,-278.214
1.930000,-299.913
